profile,single_dreamer_rssm,dual_sz,s_aff,s5a_consistency,balanced_outcome,generic_proto,proto_latent_source,intrinsic_reward_scale,notes
ab_dreamer,1,0,0,0,0,0,none,1.0,Clean Dreamer baseline
ab_dreamer_no_intrinsic,1,0,0,0,0,0,none,0.0,Actor-critic uses environment reward only
ab_dreamer_proto,1,0,0,0,0,1,full,1.0,Requested ablation: Generic Proto directly on ordinary Dreamer full latent; native RSSM rollout; no S5A loss
ab_dual,0,1,0,0,0,0,none,1.0,Dual S/Z structural effect only
ab_proto,0,1,0,0,0,1,s,1.0,Dual S/Z + Generic Proto on S; S5A rollout machinery active but S5A loss=0
ab_dual_proto,0,1,0,0,0,1,s,1.0,Explicit alias of ab_proto for 2x2 comparison
ab_saff,0,1,1,0,0,0,none,1.0,Single S-Aff module on Dual backbone
ab_s5a,0,1,0,1,0,0,none,1.0,Single S5A loss on Dual backbone
ab_outcome,0,1,0,0,1,0,none,1.0,S5A rollout machinery active but S5A loss=0
ab_saff_s5a,0,1,1,1,0,0,none,1.0,Cumulative representation baseline
ab_saff_s5a_outcome,0,1,1,1,1,0,none,1.0,Cumulative + Outcome
ab_saff_s5a_proto,0,1,1,1,0,1,s,1.0,Cumulative + Generic Proto; recommended no-Outcome test
ab_full,0,1,1,1,1,1,s,1.0,Current full GenericTask method
